강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20210101~20211231

날짜,지점,강수량(mm)
2021-01-01,108,
2021-01-02,108,
2021-01-03,108,
2021-01-04,108,0
2021-01-05,108,0
2021-01-06,108,2.3
2021-01-07,108,
2021-01-08,108,
2021-01-09,108,
2021-01-10,108,
2021-01-11,108,
2021-01-12,108,2.6
2021-01-13,108,0
2021-01-14,108,
2021-01-15,108,0.2
2021-01-16,108,
2021-01-17,108,0
2021-01-18,108,0.3
2021-01-19,108,
2021-01-20,108,
2021-01-21,108,9.2
2021-01-22,108,0.1
2021-01-23,108,
2021-01-24,108,
2021-01-25,108,
2021-01-26,108,1.7
2021-01-27,108,
2021-01-28,108,2
2021-01-29,108,
2021-01-30,108,0.5
2021-01-31,108,
2021-02-01,108,0.7
2021-02-02,108,0
2021-02-03,108,3.4
2021-02-04,108,0.1
2021-02-05,108,
2021-02-06,108,
2021-02-07,108,
2021-02-08,108,
2021-02-09,108,
2021-02-10,108,
2021-02-11,108,
2021-02-12,108,
2021-02-13,108,
2021-02-14,108,0
2021-02-15,108,1.4
2021-02-16,108,1.5
2021-02-17,108,0
2021-02-18,108,
2021-02-19,108,
2021-02-20,108,
2021-02-21,108,
2021-02-22,108,
2021-02-23,108,
2021-02-24,108,
2021-02-25,108,
2021-02-26,108,
2021-02-27,108,
2021-02-28,108,
2021-03-01,108,67.5
2021-03-02,108,0.1
2021-03-03,108,
2021-03-04,108,
2021-03-05,108,
2021-03-06,108,
2021-03-07,108,
2021-03-08,108,
2021-03-09,108,
2021-03-10,108,
2021-03-11,108,
2021-03-12,108,0
2021-03-13,108,
2021-03-14,108,
2021-03-15,108,1.7
2021-03-16,108,1.3
2021-03-17,108,
2021-03-18,108,
2021-03-19,108,
2021-03-20,108,5.1
2021-03-21,108,0.3
2021-03-22,108,
2021-03-23,108,
2021-03-24,108,
2021-03-25,108,
2021-03-26,108,
2021-03-27,108,25.5
2021-03-28,108,9.2
2021-03-29,108,0.2
2021-03-30,108,
2021-03-31,108,
2021-04-01,108,
2021-04-02,108,0
2021-04-03,108,56.2
2021-04-04,108,0.6
2021-04-05,108,
2021-04-06,108,
2021-04-07,108,
2021-04-08,108,
2021-04-09,108,
2021-04-10,108,
2021-04-11,108,
2021-04-12,108,22
2021-04-13,108,8
2021-04-14,108,
2021-04-15,108,
2021-04-16,108,0.7
2021-04-17,108,0
2021-04-18,108,
2021-04-19,108,
2021-04-20,108,
2021-04-21,108,
2021-04-22,108,
2021-04-23,108,0
2021-04-24,108,0
2021-04-25,108,
2021-04-26,108,
2021-04-27,108,1.7
2021-04-28,108,4.7
2021-04-29,108,3.9
2021-04-30,108,26.3
2021-05-01,108,8
2021-05-02,108,1.7
2021-05-03,108,
2021-05-04,108,19.6
2021-05-05,108,0.1
2021-05-06,108,
2021-05-07,108,8.8
2021-05-08,108,
2021-05-09,108,
2021-05-10,108,0
2021-05-11,108,
2021-05-12,108,
2021-05-13,108,
2021-05-14,108,
2021-05-15,108,15
2021-05-16,108,66.9
2021-05-17,108,3.1
2021-05-18,108,
2021-05-19,108,
2021-05-20,108,0.9
2021-05-21,108,6.9
2021-05-22,108,0.2
2021-05-23,108,
2021-05-24,108,
2021-05-25,108,8.3
2021-05-26,108,0
2021-05-27,108,8.9
2021-05-28,108,12.3
2021-05-29,108,0.3
2021-05-30,108,18.1
2021-05-31,108,4
2021-06-01,108,3.2
2021-06-02,108,
2021-06-03,108,18.1
2021-06-04,108,
2021-06-05,108,
2021-06-06,108,
2021-06-07,108,0
2021-06-08,108,0.1
2021-06-09,108,
2021-06-10,108,6.1
2021-06-11,108,4.6
2021-06-12,108,
2021-06-13,108,
2021-06-14,108,
2021-06-15,108,1.9
2021-06-16,108,
2021-06-17,108,0
2021-06-18,108,6.3
2021-06-19,108,
2021-06-20,108,
2021-06-21,108,
2021-06-22,108,0
2021-06-23,108,7.5
2021-06-24,108,
2021-06-25,108,
2021-06-26,108,4.5
2021-06-27,108,38.2
2021-06-28,108,0.1
2021-06-29,108,8
2021-06-30,108,6
